station_id,location,latitude,longitude,cluster
0,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,0
1,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,1
2,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,1
3,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,0
4,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,1
5,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,2
6,"Mundka, Delhi - DPCC",28.684678,77.076574,2
7,"Narela, Delhi - DPCC",28.822836,77.101981,0
8,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,0
9,"Patparganj, Delhi - DPCC",28.623748,77.287205,1
10,"Alipur, Delhi - DPCC",28.815329,77.15301,0
11,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,0
12,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,2
13,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,1
14,"Bawana, Delhi - DPCC",28.7762,77.051074,2
15,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,1
16,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,0
17,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,0
18,"Rohini, Delhi - DPCC",28.732528,77.11992,2
19,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,2
20,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,0
21,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,0
22,US Diplomatic Post: New Delhi,28.63576,77.22445,1
23,"R K Puram, Delhi - DPCC",28.674045,77.131023,0
24,"Wazirpur, Delhi - DPCC",28.699793,77.165453,2
25,"Punjabi Bagh, Delhi - DPCC",28.563262,77.186937,1
26,"DTU, Delhi - CPCB",28.7500499,77.1112615,2
27,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,1
28,"Najafgarh, Delhi - DPCC",28.570173,76.933762,0
29,"ITO, Delhi - CPCB",28.6316945,77.2494387,1
30,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,0
31,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,0
